trade_date,h.1,h.2,h.3,h.4,h.5
2012-12-28,1.14242373714179,1.1578803545952656,1.1732037214911217,1.1883949865742995,1.20345528868648
2012-12-31,1.2705920839645157,1.284985536409019,1.299258513009804,1.3134120221718366,1.3274470638595475
2013-01-02,1.939580292588701,1.9492558439377696,1.9588435733219032,1.968344277873714,1.97775874749049
2013-01-03,1.8720699543465589,1.8823438713058205,1.8925266607141575,1.9026191308543867,1.9126220828400207
2013-01-04,1.8123933505210224,1.8230839241719323,1.833679134980979,1.8441798336108024,1.8545868631358995
2013-01-07,1.7414729623907468,1.7527144718700225,1.7638566124443016,1.7749002624813242,1.785846292584532
2013-01-08,1.7217820357303752,1.7331462250811387,1.7444096467564174,1.75557319427568,1.766637753235446
2013-01-09,1.7242467164215485,1.735573454393865,1.7467995483516494,1.7579258925698187,1.7689533733771878
2013-01-10,2.3773981531773196,2.3834790631596676,2.389503550241337,2.3954721379531363,2.401385344968192
2013-01-11,2.2772234786978007,2.2840943656926656,2.2909011021405115,2.2976442869876874,2.3043245135884365
2013-01-14,2.1861508518968953,2.1937748010134026,2.2013276314109884,2.2088100065085854,2.216222583536534
2013-01-15,2.145829183925095,2.1537836351174224,2.16166397156744,2.1694708838312775,2.1772050560308815
2013-01-16,2.107461925525368,2.115910945075518,2.124283132606698,2.132579186798692,2.140799799977765
2013-01-17,2.2792748862174523,2.286247866737451,2.293156692833118,2.3000019547527915,2.30678423731427
2013-01-18,2.2499911435686855,2.257143215186689,2.264228981553405,2.271249057369941,2.2782040516386486
2013-01-22,2.153179083089127,2.1611562814916314,2.1690598441721343,2.1768904508454026,2.184648774951909
2013-01-23,2.0657817028453787,2.0745982133821905,2.08333438358038,2.0919909455402483,2.1005686246908404
2013-01-24,2.007009897348962,2.016259770858371,2.025425009389224,2.034506387339093,2.0435046720199286
2013-01-25,1.9513263454608665,1.9609957845788528,1.9705763389534872,1.9800688256432881,1.989474054196097
2013-01-28,1.8702807890541857,1.8806285689179842,1.8908815505217296,1.9010406023328827,1.911106584862686
2013-01-29,1.7957320602060909,1.807046062806808,1.8182579740831408,1.8293687152509386,1.8403791992135066
2013-01-30,1.7211104381069613,1.7329408157167683,1.7446644523995978,1.7562823112375985,1.7677953466234015
2013-01-31,1.6614360568647795,1.6736587435542152,1.6857709655051745,1.6977737210626824,1.70966799954904
2013-02-01,1.7683940881113984,1.7796690382470133,1.79084121698276,1.8019115610820395,1.8128809987696344
2013-02-04,1.773899010516376,1.7850600041122764,1.796118611640523,1.807075772346064,1.8179324168576256
2013-02-05,1.803358257381615,1.8142362004796664,1.82501375192564,1.8356918382259275,1.8462713773362682
2013-02-06,1.7323726809109876,1.7438091572662935,1.755139774924998,1.7663655137399243,1.7774873444941497
2013-02-07,1.6785924535794594,1.690449312832473,1.7021958362851162,1.7138330506838984,1.7253619732207826
2013-02-08,1.6865014107279739,1.6982816432555172,1.709951225710139,1.7215111974124648,1.7329625879209267
2013-02-11,1.6192824180890275,1.631630646251278,1.6438620428727846,1.6559777133436273,1.6679787525953467
2013-02-12,1.5606659396935028,1.5735338510701307,1.5862789335828102,1.5989023596774325,1.6114052906084688
2013-02-13,1.4986169619612542,1.5119928776894485,1.5252444051503236,1.5383727010827049,1.5513789114684167
2013-02-14,1.4718468434654397,1.4855108304561149,1.4990492085535383,1.5124631324422158,1.5257537461919881
2013-02-15,1.453253695722238,1.4670193367034972,1.480657800946022,1.494170263398578,1.5075578881549219
2013-02-19,1.4811838132647845,1.494695215886674,1.5080807347272416,1.5213415426274455,1.5344788015010546
2013-02-20,1.652940278409982,1.6650103201206348,1.6769658557467972,1.6888079715849136,1.7005377436259488
2013-02-21,1.7654680113426031,1.776575757100863,1.78757668137241,1.7984718114430926,1.8092621647195088
2013-02-22,1.804557048073368,1.8153310727224294,1.8260001413516502,1.8365652763984632,1.8470274903401451
2013-02-25,1.9430238031906788,1.9525695871759825,1.9620216990086374,1.9713810578873388,1.980648573990745
2013-02-26,1.8806381482375092,1.8907338829232958,1.9007302052035175,1.9106280939892377,1.9204285185522116
2013-02-27,1.9082015910918246,1.9180362299661418,1.9277742133228357,1.9374164910990834,1.9469640038960128
2013-02-28,1.8287076823946777,1.8392253931524092,1.8496404242953528,1.8599537782377729,1.8701664476078204
2013-03-01,1.7533195745095378,1.7645254346099248,1.7756209860541872,1.7866073147027144,1.797485495726864
2013-03-04,1.6836747462048727,1.6955331532673195,1.7072739202925011,1.71889821431561,1.730407190794393
2013-03-05,1.7282135140042356,1.7397371914934157,1.7511448235470004,1.7624375787627,1.7736166139702418
2013-03-06,1.6580767486503347,1.6702973413174558,1.682393736288767,1.694367195783546,1.7062189691931544
2013-03-07,1.5917826866207345,1.6046628291816842,1.6174112176159,1.6300291996685503,1.64251810929839
2013-03-08,1.5370166321874983,1.550518668923855,1.5638808265992705,1.5771045543396855,1.5901912862583154
2013-03-11,1.4798332861917791,1.4939238757775468,1.5078677464546448,1.5216664259404216,1.535321426044799
2013-03-12,1.420208862723106,1.4343980888517254,1.4484490040285964,1.462362956454051,1.4761412811866987
2013-03-13,1.3682532275194652,1.3829257129355566,1.397454389708063,1.411840667340922,1.4260859415231766
2013-03-14,1.342318643219722,1.3571830284834925,1.3719022357564234,1.3864776829679246,1.4009107741987237
2013-03-15,1.4472016595782762,1.4611265721015914,1.47491524607336,1.488569014424249,1.5020891970437977
2013-03-18,1.4694407642793943,1.4832428628183785,1.4969080786780493,1.5104377693960194,1.5238332790464857
