ticker,description
EFA,iShares MSCI EAFE ETF*
EWJ,iShares MSCI Japan ETF*
EWU,iShares MSCI United Kingdom ETF*
QQQ,PowerShares QQQ Trust*
SMH,VanEck Vectors Semiconductor ETF*
SPY,SPDR S&P 500 ETF*
TLT,iShares 20+ Year Treasury Bond ETF*
XLB,MATERIALS SELECT SECTOR SPDR*
XLE,ENERGY SECTOR SPDR*
XLF,FINANCIAL SECTOR SPDR*
